transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system
TXNL202200000001,ACC0001282,IND19007129,LN2019010000002,LDO20220000001,47,2022-12-14,02:33:50,1592.74,Debit,Completed,,Loan Payment - LN2019010000002,False,,0.62,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000002,ACC0000071,IND19001466,LN2019010000009,LDO20220000002,47,2022-12-31,03:51:00,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,1.37,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000003,ACC0001490,IND19011784,LN2019010000010,LDO20220000003,47,2022-12-23,04:29:35,2454.22,Debit,Completed,,Loan Payment - LN2019010000010,False,,0.62,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000004,ACC0000278,IND19005139,LN2019010000015,LDO20220000004,47,2022-12-29,03:02:57,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,1.63,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000005,ACC0000597,IND19000749,LN2019010000017,LDO20220000001,47,2022-12-22,02:59:26,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,0.58,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000006,ACC0000731,IND19012784,LN2019010000018,LDO20220000002,47,2022-12-30,04:30:26,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,0.1,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000007,ACC0000999,IND19000704,LN2019010000021,LDO20220000005,47,2022-12-30,03:40:28,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,0.21,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000008,ACC0000362,IND19010400,LN2019010000034,LDO20220000003,47,2022-12-20,04:20:27,1585.16,Debit,Completed,,Loan Payment - LN2019010000034,False,,1.97,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000009,ACC0000761,IND19003341,LN2019010000037,LDO20220000004,46,2022-12-10,02:01:44,2026.17,Debit,Completed,,Loan Payment - LN2019010000037 - Late Fee,False,,0.01,,Automated,Home Loan,late_payment,False,loan_payment_generator
TXNL202200000010,ACC0000361,IND19010400,LN2019010000048,LDO20220000002,47,2022-12-30,03:34:27,990.52,Debit,Completed,,Loan Payment - LN2019010000048,False,,1.4,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202200000011,ACC0000305,IND19009608,LN2019010000064,LDO20220000006,47,2022-12-15,02:26:25,2594.15,Debit,Completed,,Loan Payment - LN2019010000064,False,,1.15,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202200000012,ACC0000093,IND19006568,LN2019010000071,LDO20220000005,47,2022-12-13,02:45:17,1943.32,Debit,Completed,,Loan Payment - LN2019010000071 - Late Fee,False,,1.56,,Automated,Home Loan,late_payment,False,loan_payment_generator
TXNL202200000013,ACC0000412,IND19013952,LN2019010000075,LDO20220000007,47,2022-12-31,02:04:29,3629.72,Debit,Completed,,Loan Payment - LN2019010000075,False,,0.21,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000014,ACC0000227,IND19010979,LN2019010000078,LDO20220000008,47,2022-12-13,04:03:27,686.25,Debit,Completed,,Loan Payment - LN2019010000078,False,,1.09,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000015,ACC0001439,IND19009694,LN2019010000095,LDO20220000004,47,2022-12-18,04:54:52,1221.56,Debit,Completed,,Loan Payment - LN2019010000095,False,,0.74,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000016,ACC0000263,IND19010479,LN2019010000097,LDO20220000001,47,2022-12-14,02:29:31,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,1.0,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000017,ACC0000410,IND19006375,LN2019010000101,LDO20220000011,47,2022-12-22,02:34:48,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,0.78,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000018,ACC0000187,IND19005404,LN2019010000103,LDO20220000012,47,2022-12-29,04:45:29,1397.88,Debit,Completed,,Loan Payment - LN2019010000103,False,,0.29,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000019,ACC0000901,IND19009242,LN2019010000104,LDO20220000013,47,2022-12-28,04:16:11,2070.51,Debit,Failed,bank_timeout,Loan Payment - LN2019010000104,False,,1.41,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202200000020,ACC0000365,IND19005374,LN2019010000112,LDO20220000014,47,2022-12-20,02:49:18,9497.71,Debit,Completed,,Loan Payment - LN2019010000112,False,,1.78,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000021,ACC0000066,IND19000708,LN2019010000114,LDO20220000015,47,2022-12-24,03:12:00,3062.01,Debit,Completed,,Loan Payment - LN2019010000114,False,,1.35,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000022,ACC0000041,IND19003405,LN2019010000118,LDO20220000016,47,2022-12-11,03:25:01,1317.23,Debit,Completed,,Loan Payment - LN2019010000118,False,,1.37,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000023,ACC0000146,IND19003418,LN2019010000122,LDO20220000017,46,2022-12-04,04:25:48,1173.8,Debit,Completed,,Loan Payment - LN2019010000122,False,,1.6,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202200000024,ACC0000812,IND19000596,LN2019010000123,LDO20220000018,46,2022-12-08,04:13:58,3065.36,Debit,Completed,,Loan Payment - LN2019010000123,False,,0.86,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000025,ACC0000726,IND19012497,LN2019010000124,LDO20220000019,47,2022-12-13,03:54:30,390.59,Debit,Completed,,Loan Payment - LN2019010000124 - Late Fee,False,,1.82,,Automated,Home Loan,late_payment,False,loan_payment_generator
TXNL202200000026,ACC0000959,IND19007081,LN2019010000129,LDO20220000020,47,2022-12-14,02:47:50,1082.28,Debit,Completed,,Loan Payment - LN2019010000129,False,,0.92,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000027,ACC0000642,IND19009914,LN2019010000142,LDO20220000022,47,2022-12-24,03:57:15,740.28,Debit,Completed,,Loan Payment - LN2019010000142,False,,1.0,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000028,ACC0001601,IND19014936,LN2019010000149,LDO20220000002,47,2022-12-13,03:47:36,1342.76,Debit,Completed,,Loan Payment - LN2019010000149,False,,0.02,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000029,ACC0000615,IND19010153,LN2019010000152,LDO20220000023,47,2022-12-20,04:18:45,3016.9,Debit,Completed,,Loan Payment - LN2019010000152,False,,0.59,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000030,ACC0000626,IND19000516,LN2019010000160,LDO20220000006,47,2022-12-27,03:44:16,2189.1,Debit,Completed,,Loan Payment - LN2019010000160,False,,1.77,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000031,ACC0001092,IND19002621,LN2019010000162,LDO20220000005,47,2022-12-27,02:56:33,1243.5,Debit,Completed,,Loan Payment - LN2019010000162 - Partial,False,,1.89,,Automated,Vehicle Loan,partial_payment,False,loan_payment_generator
TXNL202200000032,ACC0001482,IND19001446,LN2019010000169,LDO20220000025,47,2022-12-26,04:23:03,1166.48,Debit,Completed,,Loan Payment - LN2019010000169 - Partial,False,,1.61,,Automated,Vehicle Loan,partial_payment,False,loan_payment_generator
TXNL202200000033,ACC0001221,IND19011832,LN2019010000190,LDO20220000007,47,2022-12-15,04:07:24,5061.94,Debit,Failed,account_blocked,Loan Payment - LN2019010000190,False,,0.02,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000034,ACC0000224,IND19008065,LN2019010000206,LDO20220000028,47,2022-12-14,04:58:05,1575.25,Debit,Completed,,Loan Payment - LN2019010000206,False,,1.47,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
