transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system
TXNL202000000001,ACC0020090,COM20000035,LN2020060000004,,1,2020-07-17,03:20:41,2424.2,Debit,Failed,account_blocked,Loan Payment - LN2020060000004,False,,2.5,,Online,Business Loan,standard_payment,False,loan_payment_generator
TXNL202000000002,ACC0020090,COM20000035,LN2020060000004,,2,2020-08-17,03:05:02,2424.2,Debit,Completed,,Loan Payment - LN2020060000004,False,,2.5,,Automated,Business Loan,standard_payment,False,loan_payment_generator
TXNL202000000003,ACC0020090,COM20000035,LN2020060000004,,3,2020-09-17,02:18:00,2424.2,Debit,Completed,,Loan Payment - LN2020060000004,False,,2.5,,Automated,Business Loan,standard_payment,False,loan_payment_generator
TXNL202000000004,ACC0020090,COM20000035,LN2020060000004,,4,2020-10-17,02:21:44,2424.2,Debit,Completed,,Loan Payment - LN2020060000004,False,,2.5,,Automated,Business Loan,standard_payment,False,loan_payment_generator
TXNL202000000005,ACC0020090,COM20000035,LN2020060000004,,5,2020-11-17,04:55:26,2424.2,Debit,Completed,,Loan Payment - LN2020060000004,False,,2.5,,Automated,Business Loan,standard_payment,False,loan_payment_generator
TXNL202000000006,ACC0020090,COM20000035,LN2020060000004,,6,2020-12-17,02:23:50,2424.2,Debit,Completed,,Loan Payment - LN2020060000004,False,,2.5,,Automated,Business Loan,standard_payment,False,loan_payment_generator
TXNL202000000007,ACC0019979,IND20001413,LN2020060000006,LDO20200000001,1,2020-08-05,03:05:12,10667.99,Debit,Completed,,Loan Payment - LN2020060000006,False,,1.08,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202000000008,ACC0019979,IND20001413,LN2020060000006,LDO20200000001,2,2020-09-05,02:00:38,10667.99,Debit,Completed,,Loan Payment - LN2020060000006,False,,0.37,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202000000009,ACC0019979,IND20001413,LN2020060000006,LDO20200000001,3,2020-10-05,03:30:29,10667.99,Debit,Completed,,Loan Payment - LN2020060000006,False,,1.49,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202000000010,ACC0019979,IND20001413,LN2020060000006,LDO20200000001,4,2020-11-05,03:55:01,10667.99,Debit,Completed,,Loan Payment - LN2020060000006,False,,1.48,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202000000011,ACC0019979,IND20001413,LN2020060000006,LDO20200000001,5,2020-12-05,04:52:06,10667.99,Debit,Completed,,Loan Payment - LN2020060000006,False,,1.71,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202000000012,ACC0019986,IND20000725,LN2020060000008,,1,2020-08-08,04:38:14,2332.4,Debit,Completed,,Loan Payment - LN2020060000008 - Late Fee,False,,2.5,,Automated,Home Loan,late_payment,False,loan_payment_generator
TXNL202000000013,ACC0019986,IND20000725,LN2020060000008,,2,2020-09-08,02:31:04,2221.33,Debit,Completed,,Loan Payment - LN2020060000008,False,,2.5,,Mobile,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000014,ACC0019986,IND20000725,LN2020060000008,,3,2020-10-08,03:38:06,2221.33,Debit,Completed,,Loan Payment - LN2020060000008,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000015,ACC0019986,IND20000725,LN2020060000008,,4,2020-11-08,04:12:21,2221.33,Debit,Failed,insufficient_funds,Loan Payment - LN2020060000008,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000016,ACC0019986,IND20000725,LN2020060000008,,5,2020-12-08,03:25:42,2221.33,Debit,Completed,,Loan Payment - LN2020060000008,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000017,ACC0020035,IND20001747,LN2020060000013,,1,2020-07-12,02:53:54,622.19,Debit,Completed,,Loan Payment - LN2020060000013,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator
