statement_transaction_id,account_id,statement_date,posted_date,statement_description,bank_reference,statement_amount,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,source_transaction_id
BST-ACC0036747-000001,ACC0036747,2021-12-25 11:03:00,2021-12-25,Service Fee,FEE-202112-91214,-70.84,service_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000002,ACC0036747,2021-12-25 11:03:00,2021-12-25,Cash Deposit Fee,FEE-202112-63884,-124.38,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000003,ACC0036747,2022-01-25 10:10:00,2022-01-25,Withholding_Tax,FEE-202201-11124,-22.88,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000004,ACC0036747,2022-02-25 14:07:00,2022-02-25,Bank Charge,FEE-202202-18552,-132.55,bank_charge,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000005,ACC0036747,2022-02-25 14:07:00,2022-02-25,Withholding_Tax,FEE-202202-81723,-26.25,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000006,ACC0036747,2022-02-25 14:07:00,2022-02-25,Interest Income,FEE-202202-54456,2.08,interest_income,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000007,ACC0036747,2022-03-25 07:39:00,2022-03-25,Service Fee,FEE-202203-15795,-159.76,service_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000008,ACC0036747,2022-03-25 07:39:00,2022-03-25,Interest Income,FEE-202203-13171,1.41,interest_income,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000009,ACC0036747,2022-04-25 13:57:00,2022-04-25,Service_Fee,FEE-202204-27414,-135.8,service_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000010,ACC0036747,2022-04-25 13:57:00,2022-04-25,Withholding_Tax,FEE-202204-15737,-13.96,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000011,ACC0036747,2022-05-25 08:39:00,2022-05-25,Interest Income,FEE-202205-45177,1.12,interest_income,True,bank_generated_non_transactional_entry,0,,
BST-ACC0036747-000012,ACC0036747,2022-05-25 08:39:00,2022-05-25,Withholding_Tax,FEE-202205-66473,-54.78,withholding_tax,True,bank_generated_non_transactional_entry,0,,
