BANK STATEMENT|Keystone Retail Bank
ACCOUNT|250655030362975
CUSTOMER|IND21004744
PERIOD|2021-12-01|2022-05-31
OPENING_BALANCE|7686.03
CLOSING_BALANCE|-32801.10
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2021-12-01|202112930173897|Transport via mobile_banking_app|-89.11|transactional|MTX202112000014139
2021-12-01|202112796355603|Utilities via mobile_banking_app|-710.46|transactional|MTX202112000014140
2021-12-02|202112766386646|Alcohol via online banking|-93.98|transactional|MTX202112000014141
2021-12-03|202112710265582|Groceries via mobile banking app|-471.80|transactional|MTX202112000014142
2021-12-03|202112894695492|Groceries via contactless|-354.30|transactional|MTX202112000014143
2021-12-03|202112963787386|Utilities via mobile_banking_app|-608.24|transactional|MTX202112000014144
2021-12-04|202112339930455|Entertainment via atm|-451.78|transactional|MTX202112000014145
2021-12-06|202112107371852|Clothing via mobile banking app|-391.81|transactional|MTX202112000014147
2021-12-06|202112760543940|Utilities via mobile banking app|-474.38|transactional|MTX202112000014148
2021-12-06|202112517719089|Retail via ewallet|-1434.67|transactional|MTX202112000014146
2021-12-06|202112605768595|Airtime via ussd|-81.58|transactional|MTX202112000014150
2021-12-06|202112241812135|Utilities via mobile banking app|-1005.46|transactional|MTX202112000014149
2021-12-07|202112606586377|Alcohol via mobile banking app|-171.64|transactional|MTX202112000014151
2021-12-07|202112850727552|Fuel via pos|-582.00|transactional|MTX202112000014152
2021-12-07|202112458004057|Utilities via mobile_banking_app|-580.26|transactional|MTX202112000014153
2021-12-08|202112203699960|Groceries via ewallet|-621.24|transactional|MTX202112000014154
2021-12-08|202112626252105|Alcohol via contactless|-166.98|transactional|MTX202112000014155
2021-12-08|202112384866184|Transfer via ussd|-2436.17|transactional|MTX202112000014156
2021-12-09|202112241698966|Restaurants via pos|-393.43|transactional|MTX202112000014157
2021-12-10|202112730767939|Airtime via online_banking|-11.18|transactional|MTX202112000014158
2021-12-10|202112280264813|Airtime via mobile_banking_app|-88.81|transactional|MTX202112000014159
2021-12-10|202112456487084|Restaurants via atm|-288.95|transactional|MTX202112000014160
2021-12-11|202112574538240|Entertainment via atm|-357.20|transactional|MTX202112000014163
2021-12-11|202112452782640|Alcohol via mobile_banking_app|-158.98|transactional|MTX202112000014162
2021-12-13|202112702457033|Utilities via mobile banking app|-1130.78|transactional|MTX202112000014164
2021-12-14|202112590066634|Alcohol via mobile banking app|-193.42|transactional|MTX202112000014165
2021-12-14|202112580858723|Airtime via mobile banking app|-12.83|transactional|MTX202112000014166
2021-12-14|202112898099523|Retail via mobile_banking_app|-277.29|transactional|MTX202112000014169
2021-12-14|202112743675816|Restaurants via pos|-208.81|transactional|MTX202112000014168
2021-12-14|202112404816466|Retail via online banking|-517.91|transactional|MTX202112000014170
2021-12-15|202112807343657|Fuel via mobile banking app|-339.46|transactional|MTX202112000014171
2021-12-15|202112944030553|Transfer via online banking|-126.90|transactional|MTX202112000014173
2021-12-15|202112304370693|Transfer via mobile banking app|-1030.53|transactional|MTX202112000014172
2021-12-15|202112379440338|Retail via mobile banking app|-435.09|transactional|MTX202112000014174
2021-12-15|202112603342337|Utilities via mobile banking app|-817.47|transactional|MTX202112000014175
2021-12-16|202112467165608|Transport via mobile banking app|-58.86|transactional|MTX202112000014176
2021-12-17|202112298636040|Retail via pos|-423.16|transactional|MTX202112000014178
2021-12-17|202112229134126|Alcohol via mobile_banking_app|-609.08|transactional|MTX202112000014177
2021-12-18|202112265813235|Clothing via pos|-430.65|transactional|MTX202112000014180
2021-12-18|202112945273327|Fuel via contactless|-425.23|transactional|MTX202112000014179
