reconciliation_run_id,account_id,customer_id,bank_name,account_number,statement_timeframe_months,period_start,period_end,opening_balance,closing_balance,statement_transaction_count,ledger_transaction_count,statement_pdf_path,statement_source_format,statement_source_file_path
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,Keystone Retail Bank,261050280564381,6,2022-12-01,2023-05-31 23:59:59,4538.59,3878.49,12,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056438_202212_202305_6M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056438_202212_202305_6M_statement.csv
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,Keystone Retail Bank,228305270564393,6,2022-12-01,2023-05-31 23:59:59,1983.12,-27699.95,83,74,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056439_202212_202305_6M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056439_202212_202305_6M_statement.csv
RECON-202212-ACC0056440-3M,ACC0056440,IND22004374,Keystone Retail Bank,430010280564406,3,2022-12-01,2023-02-28 23:59:59,12585.3,14231.21,10,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056440_202212_202302_3M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056440_202212_202302_3M_statement.csv
RECON-202212-ACC0056441-6M,ACC0056441,IND22004196,Keystone Retail Bank,125505010564415,6,2022-12-01,2023-05-31 23:59:59,5623.28,-8246.01,78,66,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056441_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056441_202212_202305_6M_statement.xml
RECON-202212-ACC0056442-3M,ACC0056442,IND22006066,Keystone Retail Bank,018505010564421,3,2022-12-01,2023-02-28 23:59:59,2822.36,2678.47,5,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056442_202212_202302_3M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056442_202212_202302_3M_statement.csv
RECON-202212-ACC0056443-6M,ACC0056443,IND22005386,Keystone Retail Bank,018305010564432,6,2022-12-01,2023-05-31 23:59:59,1558.98,-53127.99,96,85,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056443_202212_202305_6M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056443_202212_202305_6M_statement.csv
RECON-202212-ACC0056444-6M,ACC0056444,IND22001912,Keystone Retail Bank,207305280564449,6,2022-12-01,2023-05-31 23:59:59,11282.61,10771.27,7,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056444_202212_202305_6M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056444_202212_202305_6M_statement.csv
RECON-202212-ACC0056445-6M,ACC0056445,IND22000213,Keystone Retail Bank,280605010564452,6,2022-12-01,2023-05-31 23:59:59,9281.93,-3100.28,70,60,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056445_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056445_202212_202305_6M_statement.xml
RECON-202212-ACC0056446-3M,ACC0056446,IND22000941,Keystone Retail Bank,632005020564469,3,2022-12-01,2023-02-28 23:59:59,9042.91,-20840.43,66,59,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056446_202212_202302_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056446_202212_202302_3M_statement.xml
RECON-202212-ACC0056447-6M,ACC0056447,IND22004502,Keystone Retail Bank,250955030564478,6,2022-12-01,2023-05-31 23:59:59,14906.7,-22668.93,68,58,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056447_202212_202305_6M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056447_202212_202305_6M_statement.csv
RECON-202212-ACC0056449-6M,ACC0056449,IND22000616,Keystone Retail Bank,632005280564496,6,2022-12-01,2023-05-31 23:59:59,3678.67,-23937.38,87,73,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056449_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056449_202212_202305_6M_statement.xml
RECON-202212-ACC0056450-6M,ACC0056450,IND22007993,Keystone Retail Bank,051001010564500,6,2022-12-01,2023-05-31 23:59:59,17678.22,17092.66,11,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056450_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056450_202212_202305_6M_statement.xml
RECON-202212-ACC0056451-3M,ACC0056451,IND22000590,Keystone Retail Bank,050910010564511,3,2022-12-01,2023-02-28 23:59:59,15443.56,15026.25,7,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056451_202212_202302_3M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056451_202212_202302_3M_statement.csv
RECON-202212-ACC0056452-6M,ACC0056452,IND22011577,Keystone Retail Bank,051001010564528,6,2022-12-01,2023-05-31 23:59:59,4841.22,4500.34,11,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056452_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056452_202212_202305_6M_statement.xml
RECON-202212-ACC0056453-3M,ACC0056453,IND22011577,Keystone Retail Bank,051001020564536,3,2022-12-01,2023-02-28 23:59:59,3344.79,2893.49,6,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056453_202212_202302_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056453_202212_202302_3M_statement.xml
RECON-202212-ACC0056454-3M,ACC0056454,IND22001193,Keystone Retail Bank,221526280564540,3,2022-12-01,2023-02-28 23:59:59,11564.83,-10342.87,66,61,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056454_202212_202302_3M_statement.pdf,TXT,reconciliation_analysis\2022\bank_statement_source_files\txt\ACC0056454_202212_202302_3M_statement.txt
RECON-202212-ACC0056455-6M,ACC0056455,IND22002194,Keystone Retail Bank,198765020564551,6,2022-12-01,2023-05-31 23:59:59,13475.32,-14701.68,77,68,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056455_202212_202305_6M_statement.pdf,TXT,reconciliation_analysis\2022\bank_statement_source_files\txt\ACC0056455_202212_202305_6M_statement.txt
RECON-202212-ACC0056456-3M,ACC0056456,IND22002194,Keystone Retail Bank,198765270564561,3,2022-12-01,2023-02-28 23:59:59,14671.92,15113.33,5,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056456_202212_202302_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056456_202212_202302_3M_statement.xml
RECON-202212-ACC0056457-6M,ACC0056457,IND22014506,Keystone Retail Bank,261050020564578,6,2022-12-01,2023-05-31 23:59:59,14715.09,3513.07,56,43,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056457_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056457_202212_202305_6M_statement.xml
RECON-202212-ACC0056458-3M,ACC0056458,IND22006592,Keystone Retail Bank,238805020564583,3,2022-12-01,2023-02-28 23:59:59,12441.03,-15971.24,76,74,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056458_202212_202302_3M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056458_202212_202302_3M_statement.csv
RECON-202212-ACC0056459-6M,ACC0056459,IND22013712,Keystone Retail Bank,198765030564596,6,2022-12-01,2023-05-31 23:59:59,9807.39,9183.29,12,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056459_202212_202305_6M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056459_202212_202305_6M_statement.csv
RECON-202212-ACC0056460-3M,ACC0056460,IND22007067,Keystone Retail Bank,203705270564604,3,2022-12-01,2023-02-28 23:59:59,4564.72,-10300.69,75,71,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056460_202212_202302_3M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056460_202212_202302_3M_statement.csv
RECON-202212-ACC0056461-3M,ACC0056461,IND22002314,Keystone Retail Bank,470010030564616,3,2022-12-01,2023-02-28 23:59:59,526.04,-19986.33,73,67,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056461_202212_202302_3M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056461_202212_202302_3M_statement.csv
RECON-202212-ACC0056462-3M,ACC0056462,IND22012170,Keystone Retail Bank,221426280564621,3,2022-12-01,2023-02-28 23:59:59,5060.65,4762.46,6,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056462_202212_202302_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056462_202212_202302_3M_statement.xml
RECON-202212-ACC0056463-6M,ACC0056463,IND22005132,Keystone Retail Bank,261550020564635,6,2022-12-01,2023-05-31 23:59:59,12809.95,-10426.42,81,71,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056463_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056463_202212_202305_6M_statement.xml
RECON-202212-ACC0056465-6M,ACC0056465,IND22012817,Keystone Retail Bank,470010010564654,6,2022-12-01,2023-05-31 23:59:59,12898.15,-792.71,82,72,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056465_202212_202305_6M_statement.pdf,CSV,reconciliation_analysis\2022\bank_statement_source_files\csv\ACC0056465_202212_202305_6M_statement.csv
RECON-202212-ACC0056467-6M,ACC0056467,IND22007099,Keystone Retail Bank,134705030564672,6,2022-12-01,2023-05-31 23:59:59,15788.5,15167.19,11,0,reconciliation_analysis\2022\bank_statement_pdfs\ACC0056467_202212_202305_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2022\bank_statement_source_files\iso20022_camt053_xml\ACC0056467_202212_202305_6M_statement.xml
