BANK STATEMENT|Keystone Retail Bank
ACCOUNT|051001030793001
CUSTOMER|COM23000127
PERIOD|2023-12-01|2024-02-29
OPENING_BALANCE|3429.44
CLOSING_BALANCE|-40670.83
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2023-12-01|202312279268989|Groceries via mobile banking app|-557.23|transactional|MTX202312000012713
2023-12-01|202312987781557|Alcohol via mobile banking app|-494.34|transactional|MTX202312000012714
2023-12-02|202312335561659|Fuel via pos|-1182.27|transactional|MTX202312000012715
2023-12-02|202312296685127|Restaurants via pos|-581.02|transactional|MTX202312000012716
2023-12-03|202312664979139|Restaurants via pos|-495.80|transactional|MTX202312000012717
2023-12-04|202312210764226|Airtime via mobile_banking_app|-185.96|transactional|MTX202312000012718
2023-12-04|202312627328629|Utilities via mobile_banking_app|-1239.95|transactional|MTX202312000012719
2023-12-06|202312334040809|Groceries via mobile banking app|-723.99|transactional|MTX202312000012720
2023-12-06|202312952323264|Clothing via mobile banking app|-925.38|transactional|MTX202312000012721
2023-12-06|202312579408548|Transfer via mobile banking app|-1793.02|transactional|MTX202312000012722
2023-12-06|202312302624858|Restaurants via contactless|-351.50|transactional|MTX202312000012723
2023-12-06|202312470687389|Retail via contactless|-368.97|transactional|MTX202312000012724
2023-12-06|202312985931581|Airtime via mobile banking app|-138.26|transactional|MTX202312000012725
2023-12-07|202312140505810|Utilities via online banking|-1735.44|transactional|MTX202312000012726
2023-12-07|202312430018648|Utilities via online banking|-1538.49|transactional|MTX202312000012727
2023-12-08|202312292738964|Transport via mobile_banking_app|-174.77|transactional|MTX202312000012728
2023-12-08|202312380180377|Restaurants via mobile banking app|-451.80|transactional|MTX202312000012729
2023-12-08|202312789168021|Airtime via online banking|-126.36|transactional|MTX202312000012730
2023-12-09|202312329168850|Groceries via contactless|-400.67|transactional|MTX202312000012731
2023-12-10|202312111749793|Retail via mobile banking app|-1219.45|transactional|MTX202312000012732
2023-12-10|202312204768006|Entertainment via atm|-273.91|transactional|MTX202312000012733
2023-12-11|202312957801954|Airtime via mobile banking app|-102.27|transactional|MTX202312000012734
2023-12-11|202312119173936|Transfer via mobile_banking_app|-2335.45|transactional|MTX202312000012735
2023-12-12|202312700773733|Fuel via contactless|-443.88|transactional|MTX202312000012736
2023-12-12|202312284980414|Restaurants via contactless|-427.93|transactional|MTX202312000012738
2023-12-12|202312355104030|Restaurants via mobile_banking_app|-612.83|transactional|MTX202312000012737
2023-12-12|202312301758367|Airtime via mobile banking app|-103.05|transactional|MTX202312000012739
2023-12-13|202312680303111|Fuel via mobile banking app|-811.53|transactional|MTX202312000012740
2023-12-13|202312245808906|Transport via pos|-156.68|transactional|MTX202312000012741
2023-12-13|202312457924130|Airtime via contactless|-107.64|transactional|MTX202312000012742
2023-12-13|202312328511171|Restaurants via contactless|-404.37|transactional|MTX202312000012744
2023-12-13|202312875176001|Restaurants via pos|-664.64|transactional|MTX202312000012743
2023-12-13|202312426757143|Groceries via pos|-828.95|transactional|MTX202312000012745
2023-12-14|202312669729928|Transport via mobile_banking_app|-169.24|transactional|MTX202312000012747
2023-12-14|202312332882336|Utilities via online_banking|-1190.50|transactional|MTX202312000012748
2023-12-15|202312291867091|Transport via mobile banking app|-204.15|transactional|MTX202312000012749
2023-12-15|202312696697673|Airtime via mobile banking app|-132.44|transactional|MTX202312000012750
2023-12-15|202312695282716|Transfer via mobile_banking_app|-1147.30|transactional|MTX202312000012751
2023-12-16|202312245905757|Retail via pos|-659.28|transactional|MTX202312000012753
2023-12-16|202312308769652|Restaurants via mobile banking app|-638.97|transactional|MTX202312000012752
