BANK STATEMENT|Keystone Retail Bank
ACCOUNT|280605280997127
CUSTOMER|IND24013256
PERIOD|2024-12-01|2025-05-31
OPENING_BALANCE|2915.02
CLOSING_BALANCE|2348.88
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2024-12-25|FEE-202412-39224|Cash Deposit Fee|-61.81|cash_deposit_fee|
2024-12-25|FEE-202412-81096|Withholding_Tax|-20.86|withholding_tax|
2024-12-25|FEE-202412-61969|Bank Charge|-157.29|bank_charge|
2025-01-25|FEE-202501-55512|Interest Income|0.70|interest_income|
2025-01-25|FEE-202501-10170|Withholding_Tax|-10.65|withholding_tax|
2025-02-25|FEE-202502-96607|Service_Fee|-50.98|service_fee|
2025-02-25|FEE-202502-49998|Withholding Tax|-58.18|withholding_tax|
2025-03-25|FEE-202503-84189|Interest Income|1.10|interest_income|
2025-03-25|FEE-202503-22431|Bank Charge|-106.18|bank_charge|
2025-03-25|FEE-202503-47511|Service Fee|-50.22|service_fee|
2025-04-25|FEE-202504-17647|Cash Deposit Fee|-17.67|cash_deposit_fee|
2025-04-25|FEE-202504-53737|Service_Fee|-34.70|service_fee|
2025-05-25|FEE-202505-72748|Interest Income|0.60|interest_income|
