customer_id,customer_type,full_name,date_of_entry,annual_income,annual_turnover,branch_city,capture_channel,null_field_count
COM19000105,Company,Ndlovu Cleaning Services (Pty) Ltd,2019-11-13,,11838846.0,Rustenburg,Branch,16
COM19000207,Company,Siyakhula Transport (Pty) Ltd,2019-11-28,,3908313.0,Rustenburg,Online,16
IND19000016,Individual,Naledi Mahlangu,2019-11-14,426160.0,,Johannesburg,Branch,17
IND19000020,Individual,Lerato Dlamini,2019-10-05,331356.0,,Pretoria,Online,17
IND19000037,Individual,Refilwe Ndlovu,2019-11-16,85615.0,,Pietermaritzburg,Branch,18
IND19000060,Individual,Lerato Sibanda,2019-12-05,99431.0,,Kimberley,Mobile,17
IND19000063,Individual,Sipho Nkosi,2019-12-11,188277.0,,Sandton,Branch,17
IND19000075,Individual,Tshepo Botha,2019-11-10,214251.0,,Midrand,Branch,18
IND19000089,Individual,Mandla Mthembu,2019-10-31,187216.0,,Durban,Mobile,17
IND19000185,Individual,Sipho Mabena,2019-11-28,139127.0,,Centurion,Mobile,17
IND19000194,Individual,Wandile Molefe,2019-12-16,74462.0,,Welkom,Branch,19
IND19000204,Individual,Mandla Naidoo,2019-11-25,307257.0,,Rustenburg,Branch,17
IND19000254,Individual,Palesa Sibanda,2019-11-09,411682.0,,Upington,Branch,18
IND19000315,Individual,Lerato Khumalo,2019-11-19,95230.0,,Midrand,Branch,17
IND19000408,Individual,Bongani Maseko,2019-11-24,109879.0,,Centurion,Branch,17
IND19000416,Individual,Zanele Ndlovu,2019-11-13,178452.0,,Sandton,Mobile,18
IND19000444,Individual,Refilwe Mahlangu,2019-12-01,111973.0,,Cape Town,Mobile,17
IND19000469,Individual,Wandile Khumalo,2019-11-08,113317.0,,Stellenbosch,Mobile,17
IND19000736,Individual,Dineo Mahlangu,2019-11-29,305756.0,,Durban,Branch,18
IND19000760,Individual,Mandla Khumalo,2019-11-25,145786.0,,Upington,Branch,17
IND19000774,Individual,Bongani Pillay,2019-10-13,250310.0,,Mbombela,Online,17
IND19000779,Individual,Sibusiso Khumalo,2019-11-16,139697.0,,Midrand,Branch,17
IND19000924,Individual,Thabo Ndlovu,2019-11-29,355687.0,,Rustenburg,Branch,17
IND19000942,Individual,Nokuthula Maseko,2019-10-16,103864.0,,East London,Mobile,17
IND19000978,Individual,Nomsa Nkosi,2019-10-20,148672.0,,Pretoria,Branch,17
IND19001040,Individual,Lerato Maseko,2019-10-12,177886.0,,Kimberley,Branch,18
IND19001134,Individual,Thabo Maseko,2019-11-08,141005.0,,Polokwane,Branch,17
